,State,Resident Population,Driving Age Population,Highway Motor Fuel Use (000),Total Lane Miles,Total Road and Street Mileage,Annual VMT (Millions),Total Highway Fatalities,Fatalities (per 100 million VMT),State Motor Fuel Taxes and Other Related Receipts,Total Highway Capital Outlay (000),Total Disburse-ments for Highways (000),Payments the HTF (000),Apportion-ments from the Federal HTF (000)
0,AL,4447,3451,3148522,195298,94311,56534,995,1.76,579812,719722,1246223,638977,589698
1,AK,626,458,338750,25991,12823,4613,103,2.23,27817,321612,501359,65940,378674
2,AZ,5130,3908,2999157,118437,55195,49768,1036,2.08,565982,960137,2040266,583068,494747
3,AR,2673,2073,1959484,198161,97600,29167,652,2.24,398717,468053,817387,415571,397312
4,CA,33871,25599,17017620,371689,168076,306649,3753,1.22,2945156,2721334,6750225,3025732,2795250
5,CO,4301,3322,2450177,176993,85409,41771,681,1.63,521721,730129,1391910,423763,367548
6,CT,3405,2651,1697878,44474,20845,30756,342,1.11,545671,568931,1304378,312507,439532
7,DE,783,610,429413,12558,5779,8240,123,1.49,103965,297648,594641,79594,128749
8,DC,572,469,192440,3774,1425,3498,49,1.4,31727,164529,244216,33728,117381
9,FL,15982,12742,8648333,253349,116649,152136,2999,1.97,1612070,2448336,4207948,1554162,1390224
10,GA,8186,6251,6030954,241087,114727,105010,1541,1.47,431243,1106272,1567212,1189533,1023963
11,HI,1211,949,417929,9255,4281,8543,131,1.53,68872,148304,272268,69351,154425
12,ID,1293,969,847974,95178,46456,13534,276,2.04,202874,260689,491604,178492,253889
13,IL,12419,9530,6293151,288879,138372,102866,1418,1.38,1231728,1836253,3446580,1053743,986434
14,IN,6080,4682,4371604,193637,93608,70862,875,1.23,746424,1035129,1932198,767408,688839
15,IA,2926,2281,1993887,232920,113377,29433,445,1.51,394458,696081,1493639,353281,345026
16,KS,2688,2058,1676445,274014,134582,28130,461,1.64,358989,697463,1206470,346783,338426
17,KY,4041,3161,2850498,164231,79267,46803,820,1.75,439785,1078252,1650763,577037,525325
18,LA,4468,3395,2742677,127883,60900,40849,937,2.29,544329,767993,1300553,527753,464400
19,ME,1274,1010,847317,46346,22670,14190,169,1.19,174259,224728,487571,162787,153306
20,MD,5296,4085,2889534,67017,30494,50174,588,1.17,643009,594511,1599413,541915,476674
21,MA,6349,5008,3122005,74505,35311,52796,433,0.82,644389,2238138,3524344,545690,536063
22,MI,9938,7628,5822391,256155,121979,97792,1382,1.41,1047898,2136479,2747958,1074219,961800
23,MN,4919,3783,3154032,271176,132250,52601,625,1.19,595997,697358,1692476,403760,439011
24,MS,2844,2160,2035655,151701,73498,35536,949,2.67,397597,697252,1039192,428679,365747
25,MO,5595,4292,3977442,251209,123039,67083,1157,1.72,674002,1006426,1818178,754241,719347
26,MT,902,701,660133,141978,69567,9882,237,2.4,195390,300018,473807,140430,301755
27,NE,1711,1315,1188911,188273,92791,18081,276,1.53,307043,383934,744905,241167,224419
28,NV,1998,1538,1188724,79050,37854,17639,323,1.83,305124,424280,650984,215455,228039
29,NH,1235,961,759891,31366,15211,12021,126,1.05,136478,189689,387468,137452,148580
30,NJ,8414,6545,4748655,78163,36022,67446,731,1.08,525253,1994253,4502639,865079,781862
31,NM,1819,1370,1285461,124841,59927,22760,430,1.89,238882,463011,1162422,269496,307801
32,NY,18976,14797,6516320,239035,112783,129057,1458,1.13,1406054,2582541,5306825,1249954,1485648
33,NC,8049,6291,5088090,209335,99813,89504,1472,1.64,1054849,1464209,2621330,918638,825844
34,ND,642,502,483722,175349,86609,7217,86,1.19,102201,180072,384538,101377,194296
35,OH,11353,8790,6570881,248722,116964,105898,1351,1.28,1484302,1650422,3350560,1158013,1006181
36,OK,3450,2666,2478132,232710,112634,43355,652,1.5,414272,809152,1417329,500974,446540
37,OR,3421,2673,1919249,136866,66902,35010,451,1.29,385359,357751,1010377,381740,384990
38,PA,12281,9694,6323548,249169,119642,102337,1520,1.49,1698159,2323646,4516621,1238907,1449850
39,RI,1048,827,450802,12812,6052,8359,80,0.96,134571,129527,255637,82095,180896
40,SC,4012,3115,2831976,136123,64921,45538,1065,2.34,467948,502049,970218,554376,483066
41,SD,754,577,562591,169060,83471,8432,173,2.05,116489,346269,465690,101194,211222
42,TN,5689,4446,3759136,183640,87419,65732,1306,1.99,777581,836144,1439811,759820,685545
43,TX,20851,15618,13252841,639853,301035,220064,3769,1.71,2700214,3421427,5664524,2573239,2199108
44,UT,2233,1599,1333773,87435,41852,22597,373,1.65,314163,691200,1072340,249715,283695
45,VT,608,479,403551,29359,14273,6811,79,1.16,87255,138578,287124,70411,133812
46,VA,7078,5529,4575296,152328,70393,74801,930,1.24,774161,1270665,2678129,867264,775292
47,WA,5894,4553,3180398,167211,80209,53330,632,1.19,725356,704342,1871259,588415,544878
48,WV,1808,1455,1091359,76671,37277,19242,410,2.13,295148,673882,1170434,220408,329354
49,WI,5363,4157,3061051,231340,112359,57266,799,1.4,795105,886798,1663266,602560,572783
50,WY,493,382,590437,56780,27326,8090,152,1.88,100435,270786,395725,151317,228408
